"","Name","Team","IP","FIP","playerid","Command","S_ERA","FIP_Rank","StuffERA_Rank","F_S"
"1","Jacob deGrom","NYM",35,0.82,10954,2.72754435048721,2.3043,3,7,-4
"2","Danny Duffy","KCR",30,2.61,3542,0.663444788279894,2.869,19,18,1
"3","Carlos Rodon","CHW",25,2.19,16137,-1.44641369950396,1.8688,8,1,7
"4","Gerrit Cole","NYY",37.2,0.48,13125,3.47324464363768,2.7687,1,15,-14
"5","Corbin Burnes","MIL",29.1,0.52,19361,-0.0437294808361528,2.0233,2,2,0
"6","Tyler Glasnow","TBR",37.2,1.7,14374,-2.38075619450939,2.2936,4,6,-2
"7","John Means","BAL",37,3.62,16269,-1.01318513282141,2.7954,55,16,39
"8","Cristian Javier","HOU",25.2,2.56,17606,-0.95548632441442,2.8805,16,19,-3
"9","Brandon Woodruff","MIL",35,2.14,16162,-1.88148406100213,2.3067,7,8,-1
"10","Johnny Cueto","SFG",20,1.91,6893,0.799063783126791,3.2288,5,32,-27
"11","Lance Lynn","CHW",24.2,2.3,2520,-3.81001783651562,3.5698,11,47,-36
"12","Marcus Stroman","NYM",29.1,2.7,13431,0.162609610280039,2.4692,21,10,11
"13","Trevor Rogers","MIA",33,2.6,22286,-0.952248919535915,2.9664,18,22,-4
"14","J.A. Happ","MIN",23,4.02,7410,-2.14327366905178,3.3401,80,38,42
"15","Anthony DeSclafani","SFG",36,3.11,13050,-0.797395301686702,2.7295,30,13,17
"16","Kevin Gausman","SFG",39.2,3.24,14107,4.09753982990182,2.1341,33,3,30
"17","Clayton Kershaw","LAD",38.2,2.49,2036,1.58358831331408,2.4542,13,9,4
"18","Yu Darvish","SDP",38,3.08,13074,-1.9800036402769,3.1076,28,28,0
"19","John Gant","STL",25,4.31,13684,2.19721767534871,3.9214,90,72,18
"20","Kyle Gibson","TEX",33.1,2.57,10123,2.24968248774689,2.6227,17,12,5
"21","Josh Fleming","TBR",20.2,4.03,20418,-0.589819553740167,2.9203,83,20,63
"22","Aaron Sanchez","SFG",24.1,3.48,11490,1.06248766154344,3.1398,47,30,17
"23","Freddy Peralta","MIL",28,3,18679,1.15012452556622,3.0151,27,25,2
"24","Matthew Boyd","DET",35.2,2.97,15440,0.639108515627347,2.8498,25,17,8
"25","Michael Pineda","MIN",27.1,4.17,5372,4.73594778827637,3.634,86,51,35
"26","Pablo Lopez","MIA",34.2,3.14,17085,1.96586158084223,3.8804,31,70,-39
"27","Joe Musgrove","SDP",34,2.76,12970,4.63801581196645,2.5077,22,11,11
"28","Trevor Bauer","LAD",40,3.59,12703,0.228426585392039,2.2341,52,4,48
"29","Max Scherzer","WSN",39,3.65,3137,1.10483959428586,3.2212,58,31,27
"30","Hyun-Jin Ryu","TOR",27.2,2.97,14444,0.88919358861749,4.186,26,83,-57
"31","JT Brubaker","PIT",27.1,3.92,17578,5.42915294828074,3.674,72,54,18
"32","Wade Miley","CIN",27,3.93,8779,0.424455535657089,3.708,74,58,16
"33","Luis Garcia","HOU",20,4.41,23735,1.21341091261861,2.9727,93,23,70
"34","Dustin May","LAD",23,3.24,19716,-4.07217518655451,3.8115,34,64,-30
"35","Shane Bieber","CLE",42.1,2.5,19427,3.55319951259216,2.9364,14,21,-7
"36","Robbie Ray","TOR",22.2,4.83,11486,-2.24128274145544,3.8687,107,69,38
"37","Nick Pivetta","BOS",25.2,3.77,15454,-1.33118502270561,3.6557,65,53,12
"38","Taylor Widener","ARI",22.1,4.77,19266,0.945589456085611,3.8362,105,67,38
"39","Julio Urias","LAD",37.2,2.82,14765,0.287774262189699,3.1142,23,29,-6
"40","Aaron Civale","CLE",33.2,4,19479,3.36571252252649,3.5972,79,48,31
"41","Dylan Cease","CHW",24.1,3.27,18525,1.38863239308443,3.6834,37,56,-19
"42","Huascar Ynoa","ATL",27.1,3.66,20468,1.16531637943998,3.7254,60,59,1
"43","Taijuan Walker","NYM",27,3.37,11836,-1.05671970505101,3.4248,42,40,2
"44","Corey Kluber","NYY",29.2,4.19,2429,0.630579936232293,3.3112,87,36,51
