batter,Season,Pitches,Whiff,xWhiff,In_Whiff,OOZ.Swing,OOZ.xSwing,OOZ,IZ.Swing,IZ.xSwing,IZ,wOBA,xwOBA,In_wOBA,Name,xwOBA_Swing,xwOBA_Take,SAE
112526,2016,230,0.18696,0.09453,0.0668615708699868,0.39706,0.2981,0.0646015533681132,0.39062,0.65922,-0.195925313457795,0.1234,0.3398,-0.00601157598701949,Bartolo Colon,0.3357,0.3425,98.79
116338,2015,2079,0.114,0.10292,-0.00143590404036063,0.33039,0.28262,0.0301239012415188,0.72387,0.64504,0.0888706896105163,0.3094,0.3316,8.08266874428456e-4,Torii Hunter,0.3602,0.2988,108.62
120074,2015,2475,0.09818,0.1002,-0.0133190151793333,0.25088,0.25614,-0.026698450032363,0.70501,0.65079,0.0631082742749829,0.3833,0.3278,0.043098602137678,David Ortiz,0.3719,0.2918,113.45
120074,2016,2447,0.07683,0.09956,-0.0330817657751881,0.25976,0.25329,-0.0122313070148295,0.67972,0.63453,0.0594075289361198,0.4219,0.3255,0.0688846822816111,David Ortiz,0.3714,0.2895,114.1
121347,2015,2489,0.13138,0.10092,0.0177586935425265,0.24968,0.27821,-0.0472174710264184,0.67106,0.64989,0.0306252477749089,0.3582,0.3316,0.0491007631322675,Alex Rodriguez,0.373,0.2991,112.48
121347,2016,896,0.1317,0.10283,0.0170418545836459,0.35357,0.28324,0.0517743530833024,0.65747,0.65702,0.0151989218401416,0.2662,0.3365,-0.0144975739336841,Alex Rodriguez,0.3658,0.3083,108.71
133380,2015,1801,0.08828,0.10065,-0.0208409714643798,0.38826,0.25636,0.104033506219053,0.73536,0.6239,0.119536322780638,0.3076,0.3308,-0.0144238664370081,Aramis Ramirez,0.3611,0.2964,109.16
134181,2015,2266,0.07458,0.10067,-0.0378887160282858,0.39657,0.25804,0.115727878883498,0.62315,0.63911,-8.97082068769874e-4,0.3545,0.3313,0.0184915042295715,Adrian Beltre,0.3594,0.305,108.48
134181,2016,2411,0.07092,0.10267,-0.0384577456706242,0.39851,0.24734,0.131897979251844,0.64675,0.63985,0.0256786894630255,0.3883,0.3316,0.0405950416066384,Adrian Beltre,0.3624,0.3021,109.29
134181,2017,1551,0.08124,0.10854,-0.0383526920545822,0.34125,0.28215,0.0588263718149417,0.67318,0.64068,0.0324098825814473,0.3963,0.3317,0.0463989107323023,Adrian Beltre,0.3643,0.3026,109.83
