pitcher,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,Season,S_ERA,player_name
112526,2703,0.06474,0.08813,-0.022232592,1469,0.62015,0.65695,-0.03531285,850,0.31442,0.28939,0.009866694,0.3467,0.3225,0.004893766,-3.230147319,2015,4.626,Bartolo Colon
112526,2792,0.05516,0.08577,-0.030292904,1475,0.62237,0.67487,-0.049758137,990,0.29689,0.27868,0.00854521,0.3423,0.3225,-0.005065551,-3.686369665,2016,4.477,Bartolo Colon
112526,2252,0.05373,0.09115,-0.037899198,1128,0.6445,0.65594,-0.018648875,725,0.28648,0.29085,0.004619784,0.3398,0.3927,0.019865459,-1.157190771,2017,6.111,Bartolo Colon
112526,2228,0.05341,0.08958,-0.033292577,1111,0.62376,0.64866,-0.030033501,728,0.29633,0.28787,0.020031466,0.3379,0.3685,0.01056757,-0.87318057,2018,5.201,Bartolo Colon
115629,556,0.08094,0.09129,-0.009029748,304,0.70395,0.6622,0.019998419,166,0.29762,0.27418,0.008458201,0.3433,0.3224,0.001492986,-3.320215005,2015,4.495,LaTroy Hawkins
150116,624,0.07212,0.09396,-0.015986292,283,0.68198,0.62017,0.042587524,285,0.28446,0.2692,4.79E-03,0.3395,0.3981,0.007865756,-0.831238801,2015,4.956,Randy Wolf
150302,783,0.09451,0.09586,-0.001405081,339,0.66077,0.63312,0.008685164,255,0.2973,0.28052,1.45E-03,0.3321,0.3893,0.010956442,0.450659159,2015,4.499,Jason Marquis
150359,2499,0.08844,0.10923,-0.020795209,1205,0.63154,0.64665,-0.023218035,532,0.25889,0.27033,-0.019013037,0.3316,0.3272,-5.03E-04,1.463677332,2015,4.122,A. J. Burnett
217096,150,0.08,0.09701,-0.002466724,59,0.52542,0.59819,-0.015153996,70,0.27473,0.27495,-0.007765072,0.3295,0.5676,0.005847255,1.600203158,2015,4.037,Barry Zito
218596,1851,0.08374,0.08272,3.94E-04,916,0.66157,0.64071,0.013058864,481,0.26952,0.23766,0.016224368,0.3354,0.3304,-0.00974867,-1.870988649,2015,3.559,Tim Hudson
276351,591,0.14552,0.11478,0.027178555,298,0.68456,0.67625,-6.78E-04,213,0.34471,0.31901,0.007398389,0.3336,0.2831,0.002151558,0.358801478,2015,3.295,Jason Grilli
276351,1072,0.13433,0.12009,0.011570505,498,0.64257,0.67605,-0.026878278,355,0.28223,0.28891,-0.008986045,0.328,0.3194,0.004607807,0.694322288,2016,3.852,Jason Grilli
276351,798,0.11779,0.11364,-0.002048519,399,0.69925,0.68652,-0.006768561,260,0.27318,0.29069,-0.013728332,0.3364,0.3986,0.015482496,-1.6287787,2017,5.137,Jason Grilli
276514,213,0.08451,0.09343,-0.004783885,89,0.7191,0.68141,0.005511498,84,0.32258,0.29606,0.006447684,0.3266,0.3804,0.003886835,1.040384743,2015,4.104,Kevin Gregg
276520,1147,0.07672,0.09137,-0.021888985,581,0.70052,0.61188,0.055658303,360,0.25972,0.26486,-0.003168437,0.34,0.4226,0.020565318,-0.883941672,2017,6.171,Bronson Arroyo
276542,1036,0.16506,0.12267,0.035774762,420,0.72857,0.66935,0.028645031,436,0.36526,0.30257,0.035001823,0.3099,0.2431,-0.009842305,5.185104776,2015,2.16,Joaquin Benoit
276542,833,0.14286,0.11953,0.01703381,364,0.70604,0.68325,0.006663814,314,0.34115,0.28884,0.028412516,0.3187,0.3074,-0.002966002,2.703792818,2016,3.303,Joaquin Benoit
276542,871,0.13318,0.11683,0.014188133,400,0.7675,0.70856,0.035516521,350,0.30998,0.30508,0.015490434,0.3215,0.3115,-0.003028315,1.549654754,2017,3.692,Joaquin Benoit
279571,594,0.08754,0.11336,-0.020538306,287,0.63415,0.63125,-0.006487607,156,0.27687,0.32409,-0.042939152,0.3324,0.3101,-0.002309155,3.129279059,2015,3.955,Matt Belisle
279571,671,0.0924,0.10682,-0.01348874,358,0.7514,0.66396,0.056296017,200,0.33546,0.31272,0.008013521,0.3419,0.2799,-0.007920077,-1.504171837,2016,4.385,Matt Belisle
279571,934,0.10278,0.11294,-0.012937397,464,0.66379,0.64066,0.00290934,246,0.3234,0.33468,-0.003715981,0.3371,0.2896,-0.005731373,3.029605538,2017,3.918,Matt Belisle
279571,573,0.11867,0.11248,0.004233511,268,0.73507,0.64663,0.044337567,167,0.35738,0.31036,0.036360292,0.3347,0.3965,0.006137165,1.452722884,2018,4.335,Matt Belisle
279824,2829,0.05196,0.09616,-0.041824642,1381,0.66763,0.64572,0.012869602,1077,0.29558,0.28999,-0.008492898,0.3366,0.3317,-5.45E-04,-0.929646202,2015,4.948,Mark Buehrle
282332,2670,0.09213,0.10276,-0.007311286,1299,0.61432,0.62777,-0.013162496,939,0.30999,0.29684,0.001050226,0.3374,0.3504,0.012434633,0.669588371,2015,4.594,CC Sabathia
282332,2856,0.09944,0.0942,0.004796881,1360,0.62574,0.64272,-0.012770931,1090,0.30481,0.26647,0.035071184,0.3382,0.3227,-0.008023141,-1.728896291,2016,3.561,CC Sabathia
282332,2245,0.08864,0.10856,-0.020673231,1045,0.66124,0.64525,0.004830869,886,0.28,0.31608,-0.027999031,0.3354,0.3133,-0.008242648,0.972747625,2017,4.142,CC Sabathia
282332,2492,0.10674,0.11794,-0.01196642,1193,0.65381,0.66002,-0.022886082,985,0.31101,0.3215,-0.001004647,0.3343,0.3292,0.002382805,1.310565296,2018,4.157,CC Sabathia
282332,1674,0.11589,0.11672,-0.002737071,770,0.68052,0.64955,0.014272384,681,0.30088,0.32393,-0.005871295,0.3363,0.3731,0.015480855,1.018950119,2019,5.221,CC Sabathia
285064,2276,0.06327,0.09774,-0.037131995,1053,0.62963,0.63788,-0.015884973,738,0.25348,0.27889,-0.039106788,0.335,0.3426,0.002488307,0.010490116,2015,4.756,Ryan Vogelsong
285064,1337,0.06358,0.10377,-0.039834564,554,0.62635,0.63078,-0.011883942,491,0.22861,0.27316,-0.038048038,0.3264,0.3537,-5.76E-04,2.369223282,2016,4.721,Ryan Vogelsong
285079,3222,0.09125,0.10432,-0.006826399,1723,0.67615,0.57074,0.096634659,986,0.27819,0.2653,0.007491641,0.346,0.3045,-0.017977113,-0.480857344,2015,3.51,R. A. Dickey
285079,2708,0.10561,0.10696,3.60E-04,1438,0.66551,0.57099,0.086031482,755,0.26535,0.26632,-0.006674326,0.3423,0.3453,-1.82E-04,0.269877019,2016,4.459,R. A. Dickey
