Name,Team,IP,FIP,playerid
Jacob deGrom,NYM,35,0.82,10954
Danny Duffy,KCR,30,2.61,3542
Carlos Rodon,CHW,25,2.19,16137
Gerrit Cole,NYY,37.2,0.48,13125
Corbin Burnes,MIL,29.1,0.52,19361
Tyler Glasnow,TBR,37.2,1.7,14374
John Means,BAL,37,3.62,16269
Cristian Javier,HOU,25.2,2.56,17606
Brandon Woodruff,MIL,35,2.14,16162
Johnny Cueto,SFG,20,1.91,6893
Lance Lynn,CHW,24.2,2.3,2520
Marcus Stroman,NYM,29.1,2.7,13431
Trevor Rogers,MIA,33,2.6,22286
J.A. Happ,MIN,23,4.02,7410
Anthony DeSclafani,SFG,36,3.11,13050
Kevin Gausman,SFG,39.2,3.24,14107
Clayton Kershaw,LAD,38.2,2.49,2036
Yu Darvish,SDP,38,3.08,13074
John Gant,STL,25,4.31,13684
Kyle Gibson,TEX,33.1,2.57,10123
Josh Fleming,TBR,20.2,4.03,20418
Aaron Sanchez,SFG,24.1,3.48,11490
Freddy Peralta,MIL,28,3,18679
Matthew Boyd,DET,35.2,2.97,15440
Michael Pineda,MIN,27.1,4.17,5372
Pablo Lopez,MIA,34.2,3.14,17085
Joe Musgrove,SDP,34,2.76,12970
Trevor Bauer,LAD,40,3.59,12703
Max Scherzer,WSN,39,3.65,3137
Hyun-Jin Ryu,TOR,27.2,2.97,14444
JT Brubaker,PIT,27.1,3.92,17578
Wade Miley,CIN,27,3.93,8779
Luis Garcia,HOU,20,4.41,23735
Dustin May,LAD,23,3.24,19716
Shane Bieber,CLE,42.1,2.5,19427
Robbie Ray,TOR,22.2,4.83,11486
Nick Pivetta,BOS,25.2,3.77,15454
Taylor Widener,ARI,22.1,4.77,19266
Julio Urias,LAD,37.2,2.82,14765
Aaron Civale,CLE,33.2,4,19479
Dylan Cease,CHW,24.1,3.27,18525
Huascar Ynoa,ATL,27.1,3.66,20468
Taijuan Walker,NYM,27,3.37,11836
Corey Kluber,NYY,29.2,4.19,2429
Brady Singer,KCR,23.1,3.41,25377
Aaron Nola,PHI,37.2,2.63,16149
Jon Gray,COL,34.1,3.72,14916
Walker Buehler,LAD,31.1,3.08,19374
Sandy Alcantara,MIA,36.2,3.36,18684
Tyler Mahle,CIN,30.2,3.83,16358
Ian Anderson,ATL,33,3.38,19951
Jeff Hoffman,CIN,24.1,4.63,17432
Chris Flexen,SEA,27,3.3,13896
Tyler Anderson,PIT,26.2,3.52,12880
Lance McCullers Jr.,HOU,26.2,3.37,14120
Jack Flaherty,STL,34.1,3.29,17479
Zack Greinke,HOU,36.2,3.98,1943
Jakob Junis,KCR,23.1,2.25,13619
Sean Manaea,OAK,33.2,3.32,15873
Zac Gallen,ARI,20.2,2.87,19291
Zack Wheeler,PHI,38.2,3.42,10310
Zach Eflin,PHI,38.2,2.52,13774
Blake Snell,SDP,25.2,3.62,13543
Jose Urena,DET,35.2,3.25,11589
Jose Berrios,MIN,32.2,2.35,14168
Nathan Eovaldi,BOS,34.2,2.13,9132
Adrian Houser,MIL,24.2,4.37,12718
Cole Irvin,OAK,27,3.48,19244
Jose Urquidy,HOU,34,3.85,18413
Carlos Martinez,STL,36.1,3.8,11682
Michael Fulmer,DET,21,3.92,13218
Chris Bassitt,OAK,34.1,3.63,12304
Dane Dunning,TEX,22.2,2.23,19409
Justin Dunn,SEA,20.1,5.03,19268
Dylan Bundy,LAA,36,3.61,12917
Steven Matz,TOR,27,3.78,13361
Domingo German,NYY,20,4.41,17149
Matt Harvey,BAL,31,3.5,11713
Adam Wainwright,STL,28.2,3.98,2233
Logan Webb,SFG,28.1,3.89,17995
German Marquez,COL,32.2,4.03,15038
Eduardo Rodriguez,BOS,28,3.54,13164
Justus Sheffield,SEA,28,4.4,17285
Jake Arrieta,CHC,31.1,4.64,4153
Mike Foltynewicz,TEX,33.1,5.57,10811
Chi Chi Gonzalez,COL,24.2,4.12,14663
Jordan Montgomery,NYY,26.2,4.87,16511
Garrett Richards,BOS,28.2,4.02,9784
Yusei Kikuchi,SEA,30.2,4.64,20633
Erick Fedde,WSN,22.1,3.65,17425
Joe Ross,WSN,21.1,5.74,12972
Dallas Keuchel,CHW,31,4.5,9434
Martin Perez,BOS,23,3.59,6902
Adbert Alzolay,CHC,21,3.78,17859
Michael Wacha,TBR,28.1,3.96,14078
Zach Plesac,CLE,32,3.99,19979
David Peterson,NYM,24.1,4.51,20302
Ryan Yarbrough,TBR,33.1,3.14,16502
Luke Weaver,ARI,25.2,5.02,16918
Lucas Giolito,CHW,30.2,4.25,15474
Casey Mize,DET,26.2,5.51,20492
Charlie Morton,ATL,33.2,3.67,4676
Jameson Taillon,NYY,22.1,4.23,11674
Andrew Heaney,LAA,24,3.69,15423
Mike Minor,KCR,25.2,5.33,10021
Chase Anderson,PHI,21.2,4.82,6895
Marco Gonzales,SEA,28.1,5.51,15467
Chris Paddack,SDP,23.1,3.24,20099
Bruce Zimmermann,BAL,30,5.88,20370
Madison Bumgarner,ARI,30.2,4.02,5524
Kohei Arihara,TEX,25,6.43,27505
Antonio Senzatela,COL,29.2,5.2,15488
Jesus Luzardo,OAK,28,4.57,19959
Merrill Kelly,ARI,32.2,4.55,11156
Austin Gomber,COL,29,4.66,16561
Trevor Williams,CHC,27,5.15,16977
Luis Castillo,CIN,29.2,4.69,15689
Tarik Skubal,DET,22,8.25,22267
Griffin Canning,LAA,20.1,5.42,19867
Frankie Montas,OAK,24.2,5.22,14309
Rich Hill,TBR,25.1,4.65,4806
Kenta Maeda,MIN,23.1,6.2,18498
Jordan Lyles,TEX,28,6.15,7593
Trevor Cahill,PIT,24.1,3.73,6249
Jorge Lopez,BAL,21.2,6.29,14527
Kyle Hendricks,CHC,22.2,8.32,12049
Matt Shoemaker,MIN,23,7.02,4776
Brad Keller,KCR,22.1,6.02,15734
Patrick Corbin,WSN,23.1,7.52,9323
Zach Davies,CHC,23,5.94,13183
