"","batter","Pitches","Whiff","xWhiff","In_Whiff","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","xwOBA","wOBA","In_wOBA","xwOBA_Swing","xwOBA_Take","SAE","Name"
"1",405395,791,0.097,0.099,-0.003,370,0.632,0.65,-0.013,248,0.399,0.293,0.119,0.334,0.271,-0.04,0.36,0.31,107.9,"Albert Pujols"
"2",408234,1074,0.134,0.109,0.021,479,0.695,0.646,0.049,253,0.296,0.257,0.057,0.326,0.356,0.023,0.358,0.292,109.89,"Miguel Cabrera"
"3",425772,343,0.143,0.103,0.03,178,0.652,0.673,-0.009,97,0.268,0.297,0.004,0.343,0.241,-0.028,0.378,0.31,110.1,"Jeff Mathis"
"4",425783,701,0.126,0.112,0.009,337,0.588,0.675,-0.076,248,0.194,0.321,-0.087,0.34,0.32,0.007,0.38,0.316,111.98,"Shin-Soo Choo"
"5",425784,19,0.105,0.094,0,10,0.5,0.66,-0.036,4,0.25,0.344,-0.007,0.338,0.225,0.004,0.346,0.33,102.55,"Rene Rivera"
"6",425877,872,0.117,0.113,-0.002,401,0.726,0.634,0.09,250,0.4,0.292,0.125,0.325,0.332,-0.01,0.352,0.291,108.25,"Yadier Molina"
"7",429664,817,0.1,0.102,-0.007,366,0.781,0.641,0.121,344,0.392,0.265,0.145,0.332,0.395,0.034,0.35,0.304,105.61,"Robinson Cano"
"8",429665,1103,0.133,0.118,0.014,525,0.629,0.674,-0.035,273,0.234,0.305,-0.034,0.332,0.295,-0.015,0.363,0.304,109.52,"Edwin Encarnacion"
"9",435062,489,0.092,0.109,-0.019,243,0.663,0.648,0.013,167,0.341,0.332,0.033,0.335,0.319,-0.012,0.357,0.31,106.5,"Howie Kendrick"
"10",435522,197,0.122,0.101,0.002,96,0.594,0.66,-0.048,66,0.379,0.304,0.078,0.33,0.267,-0.009,0.368,0.297,111.35,"Neil Walker"
"11",435559,630,0.084,0.114,-0.028,318,0.686,0.635,0.043,182,0.269,0.32,-0.019,0.335,0.349,-0.011,0.372,0.302,110.93,"Kurt Suzuki"
"12",443558,1081,0.153,0.12,0.025,470,0.691,0.646,0.047,266,0.282,0.279,0.03,0.322,0.415,0.094,0.359,0.29,111.48,"Nelson Cruz"
"13",444482,1017,0.093,0.103,-0.015,518,0.643,0.66,-0.016,347,0.222,0.269,-0.016,0.339,0.336,0.011,0.371,0.312,109.6,"David Peralta"
"14",444489,186,0.108,0.108,0.005,80,0.65,0.67,-0.005,74,0.203,0.334,-0.067,0.335,0.331,-0.001,0.37,0.309,110.35,"Manny Pina"
"15",445055,257,0.093,0.101,-0.01,132,0.606,0.648,-0.033,79,0.367,0.304,0.074,0.335,0.235,-0.045,0.358,0.313,106.99,"Jon Jay"
"16",446308,209,0.081,0.108,-0.028,93,0.624,0.693,-0.042,76,0.303,0.319,0.007,0.336,0.255,-0.022,0.365,0.316,108.65,"Matt Wieters"
"17",446334,1097,0.08,0.108,-0.032,536,0.595,0.64,-0.046,266,0.259,0.293,-0.004,0.336,0.308,-0.023,0.375,0.306,111.67,"Evan Longoria"
"18",446481,51,0.196,0.131,0.027,25,0.64,0.659,-0.007,15,0.333,0.297,0.023,0.344,0.129,-0.015,0.365,0.318,106.28,"Sean Rodriguez"
"19",448801,219,0.183,0.102,0.056,104,0.712,0.676,0.019,88,0.352,0.299,0.059,0.332,0.153,-0.052,0.358,0.302,107.83,"Chris Davis"
"20",451594,735,0.124,0.116,0.001,336,0.711,0.695,0.028,254,0.197,0.289,-0.059,0.335,0.31,-0.007,0.375,0.299,112.04,"Dexter Fowler"
"21",452095,449,0.147,0.11,0.025,221,0.597,0.686,-0.074,142,0.303,0.312,0.014,0.342,0.259,-0.006,0.376,0.316,109.9,"Tyler Flowers"
"22",452254,197,0.152,0.113,0.021,92,0.739,0.654,0.055,72,0.347,0.299,0.056,0.333,0.182,-0.045,0.368,0.292,110.56,"Hunter Pence"
"23",452678,1067,0.093,0.105,-0.017,492,0.671,0.657,0.014,397,0.317,0.294,0.037,0.339,0.32,-0.013,0.372,0.311,109.71,"Asdrubal Cabrera"
"24",453568,1197,0.103,0.107,-0.011,601,0.691,0.673,0.022,443,0.251,0.302,-0.022,0.34,0.338,0.006,0.37,0.31,109.03,"Charlie Blackmon"
"25",453943,916,0.104,0.113,-0.012,415,0.627,0.667,-0.043,304,0.227,0.326,-0.063,0.331,0.305,0.004,0.366,0.3,110.57,"Todd Frazier"
"26",455117,1077,0.11,0.109,-0.006,503,0.594,0.66,-0.059,293,0.242,0.303,-0.029,0.332,0.316,0.008,0.37,0.309,111.34,"Martin Maldonado"
"27",455139,389,0.123,0.113,0.006,174,0.695,0.637,0.04,120,0.183,0.265,-0.044,0.325,0.249,-0.041,0.355,0.295,109.27,"Robinson Chirinos"
"28",455976,998,0.052,0.108,-0.057,504,0.625,0.669,-0.044,326,0.184,0.294,-0.083,0.341,0.303,-0.033,0.374,0.317,109.73,"Nick Markakis"
"29",456124,164,0.152,0.101,0.032,68,0.691,0.676,0.007,39,0.513,0.291,0.156,0.328,0.308,0.013,0.369,0.289,112.53,"Erik Kratz"
"30",456488,4,0,0.097,-0.006,3,0.667,0.546,0.007,1,1,0.249,0.028,0.36,0.45,0.002,0.336,0.434,93.17,"Eduardo Nunez"
"31",456715,73,0.082,0.107,-0.013,36,0.583,0.631,-0.019,22,0.136,0.238,-0.028,0.334,0.358,-0.006,0.374,0.311,111.9,"Lorenzo Cain"
"32",456781,990,0.101,0.11,-0.014,478,0.68,0.643,0.031,296,0.351,0.344,0.042,0.337,0.352,0.034,0.363,0.308,107.93,"Donovan Solano"
"33",457705,1228,0.078,0.107,-0.032,645,0.591,0.652,-0.068,309,0.239,0.313,-0.05,0.342,0.36,0.007,0.38,0.313,111.22,"Andrew McCutchen"
"34",457708,869,0.115,0.11,0.001,447,0.635,0.657,-0.017,218,0.206,0.319,-0.073,0.336,0.338,0.01,0.379,0.305,112.57,"Justin Upton"
"35",457727,561,0.13,0.108,0.014,284,0.687,0.66,0.033,137,0.234,0.27,-0.006,0.335,0.315,-0.005,0.372,0.3,111.2,"Cameron Maybin"
"36",457759,1067,0.077,0.109,-0.036,547,0.653,0.672,-0.021,286,0.213,0.258,-0.018,0.335,0.378,0.003,0.38,0.301,113.25,"Justin Turner"
"37",457803,557,0.151,0.106,0.037,264,0.818,0.687,0.106,190,0.321,0.316,0.034,0.333,0.303,-0.004,0.374,0.288,112.29,"Jay Bruce"
"38",458015,1186,0.074,0.105,-0.029,563,0.568,0.662,-0.086,422,0.178,0.305,-0.093,0.338,0.367,0.015,0.383,0.312,113.26,"Joey Votto"
"39",458731,1054,0.084,0.102,-0.022,529,0.569,0.675,-0.098,398,0.163,0.318,-0.12,0.346,0.359,0.006,0.38,0.325,110.07,"Brett Gardner"
"40",459964,841,0.137,0.113,0.011,377,0.69,0.664,0.021,367,0.262,0.329,-0.04,0.337,0.323,-0.015,0.38,0.3,112.71,"Matthew Joyce"
"41",460075,680,0.135,0.104,0.028,292,0.695,0.641,0.055,230,0.409,0.294,0.138,0.33,0.304,-0.006,0.35,0.307,105.87,"Ryan Braun"
"42",460077,249,0.112,0.119,-0.008,118,0.686,0.703,-0.006,84,0.286,0.372,-0.037,0.341,0.195,-0.038,0.376,0.309,110.45,"Drew Butera"
"43",460086,920,0.096,0.108,-0.015,434,0.717,0.665,0.047,324,0.247,0.311,-0.029,0.339,0.299,-0.042,0.381,0.301,112.51,"Alex Gordon"
"44",461314,671,0.131,0.116,0.006,268,0.619,0.657,-0.028,188,0.277,0.307,-0.003,0.327,0.341,0.023,0.367,0.301,112.27,"Matt Kemp"
"45",461865,42,0.095,0.107,-0.005,24,0.917,0.885,0.013,12,0,0.244,-0.066,0.352,0.312,0.001,0.381,0.305,108.3,"Andrew Romine"
"46",462101,458,0.081,0.105,-0.024,230,0.639,0.646,-0.01,141,0.277,0.267,0.035,0.338,0.272,-0.049,0.373,0.308,110.26,"Elvis Andrus"
"47",465041,220,0.118,0.107,0.003,98,0.673,0.612,0.043,71,0.225,0.284,-0.03,0.333,0.393,0.017,0.384,0.297,115.41,"Francisco Cervelli"
"48",466988,14,0.143,0.14,0.002,5,0.4,0.526,-0.012,8,0.625,0.465,0.042,0.336,0,-0.003,0.335,0.337,99.58,"Emilio Bonifacio"
"49",467055,474,0.15,0.104,0.034,210,0.762,0.683,0.064,207,0.319,0.286,0.058,0.336,0.255,-0.044,0.368,0.3,109.3,"Pablo Sandoval"
"50",467092,679,0.133,0.1,0.026,332,0.81,0.651,0.139,236,0.335,0.25,0.106,0.332,0.324,-0.011,0.368,0.288,110.59,"Wilson Ramos"
"51",467793,1462,0.07,0.114,-0.045,658,0.623,0.667,-0.039,539,0.182,0.295,-0.081,0.335,0.312,-0.063,0.388,0.303,115.83,"Carlos Santana"
"52",474568,158,0.082,0.109,-0.024,65,0.585,0.657,-0.036,57,0.193,0.276,-0.04,0.338,0.234,-0.042,0.364,0.325,107.57,"Jordy Mercer"
"53",474832,954,0.084,0.103,-0.024,421,0.696,0.637,0.05,386,0.168,0.303,-0.091,0.333,0.448,0.069,0.387,0.297,116.13,"Brandon Belt"
