"","Season","Name","Team","Age","PA","BB%","K%","BB/K","ISO","BABIP","SB","CS","Spd","wSB","GB/FB","GB%","LD%","FB%","IFFB%","SwStr%","Oppo%","Cent%","Pull%","Level","wRC.","PlayerId","SB_PA","Key","PlayerList"
"1",2021,"Christian Bethancourt","PIT",29,283,0.06713781,0.19787986,0.33928571,0.16153846,0.31472081,4,1,3.31692752825769,0.0537240840494632,1.43939394,0.47263682,0.19900498,0.32835821,0.12121212,0.17019231,0.34466019,0.20873786,0.44660194,"AAA",100.625057912559,"10028",0.0141342756183746,"10028PITAAA","Christian Bethancourt PIT-AAA"
"2",2021,"Tomas Telis","MIN",30,264,0.06060606,0.13257576,0.45714286,0.11836734,0.30882353,4,0,4.46436224678599,0.477426955476403,1.37681159,0.45454545,0.215311,0.33014354,0.15942029,0.09398099,0.3507109,0.28436019,0.36492891,"AAA",97.1041874490314,"10067",0.0151515151515152,"10067MINAAA","Tomas Telis MIN-AAA"
"3",2021,"Rafael Ortega","CHC",30,73,0.10958904,0.17808219,0.61538462,0.234375,0.25531915,1,1,3.18082712172684,-0.323962061665952,0.7826087,0.36,0.18,0.46,0.2173913,0.08609272,0.33333333,0.17647059,0.49019608,"AAA",115.223669701758,"10323",0.0136986301369863,"10323CHCAAA","Rafael Ortega CHC-AAA"
"4",2021,"Wilfredo Tovar","NYM",29,264,0.125,0.09848485,1.26923077,0.11842105,0.3030303,9,2,4.64083992545809,0.538480225019156,1.46875,0.46766169,0.21393035,0.31840796,0.265625,0.05626851,0.3627451,0.16176471,0.4754902,"AAA",114.533187856697,"10416",0.0340909090909091,"10416NYMAAA","Wilfredo Tovar NYM-AAA"
"5",2021,"Cheslor Cuthbert","CIN",28,88,0.15909091,0.15909091,1,0.13513514,0.22413793,1,0,3.06121477355757,0.0997408097609877,1.68421053,0.53333333,0.15,0.31666667,0.26315789,0.11242604,0.35,0.26666667,0.38333333,"AAA",84.6837044009449,"10473",0.0113636363636364,"10473CINAAA","Cheslor Cuthbert CIN-AAA"
"6",2021,"Cheslor Cuthbert","NYM",28,165,0.12121212,0.18181818,0.66666667,0.19285714,0.25242718,0,1,1.43425762681578,-0.646016734652221,0.71698113,0.34862385,0.16513761,0.48623853,0.28301887,0.10093168,0.33636364,0.19090909,0.47272727,"AAA",111.137144297758,"10473",0,"10473NYMAAA","Cheslor Cuthbert NYM-AAA"
"7",2021,"Rocky Gale","CIN",33,80,0.0125,0.1875,0.06666667,0.03896104,0.25806452,0,0,0.142857142857143,-0.0653864303603768,2.28571429,0.52459016,0.24590164,0.2295082,0.21428571,0.10580205,0.36507937,0.20634921,0.42857143,"AAA",22.7690612957937,"10533",0,"10533CINAAA","Rocky Gale CIN-AAA"
"8",2021,"Derek Dietrich","NYY",31,143,0.18881119,0.32167832,0.58695652,0.17757009,0.32142857,0,0,1.46230158035714,-0.217954767867922,0.62068966,0.3,0.21666667,0.48333333,0.37931034,0.15007657,0.2295082,0.32786885,0.44262295,"AAA",128.657232351383,"10542",0,"10542NYYAAA","Derek Dietrich NYY-AAA"
"9",2021,"Derek Dietrich","WSN",31,84,0.08333333,0.41666667,0.2,0.09859155,0.23529412,0,0,2.01785714285714,-0.0871819071471691,0.47368421,0.25,0.22222222,0.52777778,0.47368421,0.17379679,0.22222222,0.33333333,0.44444444,"AAA",46.4835094396205,"10542",0,"10542WSNAAA","Derek Dietrich WSN-AAA"
"10",2021,"Carlos Perez","OAK",30,251,0.06772908,0.12350598,0.5483871,0.28070175,0.24309392,0,0,2.00966039285714,-0.0964152738451957,0.63366337,0.3248731,0.16243655,0.51269036,0.22772277,0.06073298,0.23232323,0.28282828,0.48484848,"AAA",105.489808997996,"10642",0,"10642OAKAAA","Carlos Perez OAK-AAA"
"11",2021,"Rob Brantly","NYY",31,141,0.10638298,0.14893617,0.71428571,0.21008403,0.30434783,0,0,4.07018270535714,-0.187441100366413,1.18181818,0.40625,0.25,0.34375,0.27272727,0.09851301,0.2755102,0.19387755,0.53061224,"AAA",139.545312110649,"10655",0,"10655NYYAAA","Rob Brantly NYY-AAA"
"12",2021,"Ryan LaMarre","NYY",32,159,0.10062893,0.24528302,0.41025641,0.20437957,0.38709677,9,3,6.53428187745413,0.249909309670329,1.17142857,0.41836735,0.2244898,0.35714286,0.2,0.11149228,0.32653061,0.29591837,0.37755102,"AAA",140.503524702426,"10700",0.0566037735849057,"10700NYYAAA","Ryan LaMarre NYY-AAA"
"13",2021,"Arismendy Alcantara","SFG",29,193,0.09326425,0.31606218,0.29508197,0.30857143,0.38,2,0,6.44234734974437,0.314499668776989,0.76595745,0.32432432,0.25225225,0.42342342,0.17021277,0.13118812,0.28947368,0.26315789,0.44736842,"AAA",128.533293937124,"10711",0.0103626943005181,"10711SFGAAA","Arismendy Alcantara SFG-AAA"
