pitcher,player_name,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,S_ERA
424144,Oliver Perez,360,0.07778,0.09662,-0.014430469,194,0.62371,0.69015,-0.034464416,139,0.23022,0.30646,-0.026851954,0.3478,0.2709,-0.011575751,-3.691395948,3.9712
425794,Adam Wainwright,1307,0.10176,0.11309,-0.014178654,638,0.62382,0.62703,0.002114596,323,0.25697,0.33676,-0.022856492,0.3381,0.2995,-0.008082779,2.881896095,3.8293
425844,Zack Greinke,1717,0.09959,0.11116,-0.007906512,756,0.60053,0.65642,-0.035632739,562,0.25089,0.30218,0.006151701,0.3326,0.3019,-0.002322147,1.193076638,3.902
430935,Cole Hamels,52,0.11538,0.10679,0.001149674,22,0.68182,0.65965,-0.003028246,23,0.17391,0.30999,-0.03721097,0.3307,0.2929,-0.002307733,1.182707136,3.9205
433589,Yusmeiro Petit,421,0.11876,0.09547,0.022696019,212,0.74057,0.66813,0.058261688,115,0.33913,0.30716,0.048303557,0.3395,0.3045,-0.004715152,-1.567734843,3.7673
434378,Justin Verlander,73,0.12329,0.12841,-0.002388689,39,0.66667,0.66483,0.010729737,14,0.28571,0.32823,0.002695485,0.3298,0.2667,-0.000211046,3.518848939,3.967
434671,Anibal Sanchez,1325,0.10038,0.11243,-0.016268888,599,0.69449,0.66792,0.007584902,514,0.26265,0.30931,-0.019235644,0.327,0.397,0.015694778,1.836031665,5.3158
435522,Neil Walker,14,0,0.11799,-0.009391182,3,0.66667,0.48886,0.005641273,9,0.33333,0.19578,0.012673824,0.3352,0.2333,-0.002015877,5.649117589,3.8173
444468,Hector Rondon,492,0.08333,0.10663,-0.0151029,233,0.64807,0.66047,-0.01319093,128,0.20312,0.29707,-0.041542103,0.3334,0.4244,0.017770076,0.347237337,5.4313
445213,Brandon Kintzler,485,0.05979,0.09187,-0.026804194,236,0.58475,0.64578,-0.056610921,164,0.34146,0.34447,0.018356381,0.3373,0.3108,-0.007309463,0.547118541,3.9829
445276,Kenley Jansen,754,0.13926,0.10235,0.033982437,380,0.66316,0.67897,-0.003757385,287,0.30314,0.31315,0.037169048,0.3438,0.2491,-0.010705029,-1.904399185,2.8639
445926,Jesse Chavez,335,0.04478,0.08624,-0.027267626,170,0.62353,0.6859,-0.030185855,81,0.20988,0.28168,-0.015536951,0.3397,0.3715,0.002423408,-3.950980974,5.0824
446321,Ross Detwiler,409,0.12958,0.0922,0.022956366,199,0.71357,0.64981,0.039462218,160,0.24375,0.23697,0.0220665,0.34,0.3606,0.003324924,-3.211404878,4.2641
446372,Corey Kluber,18,0.05556,0.09187,-0.005213292,7,0.57143,0.72285,-0.011998429,6,0.16667,0.21289,-0.001348338,0.3326,0.2333,-0.001360199,-6.099101895,4.6228
448179,Rich Hill,786,0.06361,0.09749,-0.036868573,389,0.58098,0.66067,-0.073050733,364,0.25549,0.24911,0.021008459,0.3482,0.2737,-0.020570138,-4.081179314,3.7552
448281,Sean Doolittle,157,0.09554,0.10741,-0.008892752,87,0.86207,0.66245,0.083142527,69,0.26087,0.29404,-0.000485039,0.341,0.3477,0.001116683,-0.887202291,4.9558
