Season,Name,Team, BB% ,ERA,playerid
2020,Shane Bieber,CLE, 0.0710 ,1.63,19427
2015,Zack Greinke,LAD, 0.0470 ,1.66,1943
2018,Jacob deGrom,NYM, 0.0550 ,1.7,10954
2020,Trevor Bauer,CIN, 0.0610 ,1.73,12703
2015,Jake Arrieta,CHC, 0.0550 ,1.77,4153
2018,Blake Snell,TBR, 0.0910 ,1.89,13543
2020,Dallas Keuchel,CHW, 0.0660 ,1.99,9434
2020,Yu Darvish,CHC, 0.0470 ,2.01,13074
2020,Dinelson Lamet,SDP, 0.0750 ,2.09,17186
2015,Clayton Kershaw,LAD, 0.0470 ,2.13,2036
2016,Kyle Hendricks,CHC, 0.0590 ,2.13,12049
2018,Trevor Bauer,CLE, 0.0790 ,2.21,12703
2017,Corey Kluber,CLE, 0.0460 ,2.25,2429
2020,Chris Bassitt,OAK, 0.0650 ,2.29,12304
2017,Clayton Kershaw,LAD, 0.0440 ,2.31,2036
2019,Hyun-Jin Ryu,LAD, 0.0330 ,2.32,14444
2018,Aaron Nola,PHI, 0.0700 ,2.37,16149
2020,Jacob deGrom,NYM, 0.0670 ,2.38,10954
2019,Jacob deGrom,NYM, 0.0550 ,2.43,10954
2016,Jon Lester,CHC, 0.0650 ,2.44,4930
2015,David Price,- - -, 0.0530 ,2.45,3184
2015,Dallas Keuchel,HOU, 0.0560 ,2.48,9434
2019,Gerrit Cole,HOU, 0.0590 ,2.5,13125
2017,Max Scherzer,WSN, 0.0710 ,2.51,3137
2017,Stephen Strasburg,WSN, 0.0670 ,2.52,10131
2018,Justin Verlander,HOU, 0.0440 ,2.52,8700
2018,Max Scherzer,WSN, 0.0590 ,2.53,3137
2015,Jacob deGrom,NYM, 0.0510 ,2.54,10954
2019,Justin Verlander,HOU, 0.0500 ,2.58,8700
2015,Gerrit Cole,PIT, 0.0530 ,2.6,13125
2016,Noah Syndergaard,NYM, 0.0580 ,2.6,11762
2019,Mike Soroka,ATL, 0.0580 ,2.68,18383
2020,Hyun-Jin Ryu,TOR, 0.0620 ,2.69,14444
2020,Kenta Maeda,MIN, 0.0400 ,2.7,18498
2015,Matt Harvey,NYM, 0.0490 ,2.71,11713
2020,Zach Davies,SDP, 0.0690 ,2.73,13183
2015,Sonny Gray,OAK, 0.0710 ,2.73,12768
2016,Madison Bumgarner,SFG, 0.0590 ,2.74,5524
2020,Zac Gallen,ARI, 0.0860 ,2.75,19291
2019,Jack Flaherty,STL, 0.0710 ,2.75,17479
2015,John Lackey,STL, 0.0590 ,2.77,1507
2016,Johnny Cueto,SFG, 0.0510 ,2.79,6893
2015,Max Scherzer,WSN, 0.0380 ,2.79,3137
2018,Miles Mikolas,STL, 0.0360 ,2.83,9803
2016,Tanner Roark,WSN, 0.0850 ,2.83,8753
2020,Gerrit Cole,NYY, 0.0590 ,2.84,13125
2018,Kyle Freeland,COL, 0.0830 ,2.85,16256
2018,Mike Foltynewicz,ATL, 0.0910 ,2.85,10811
2016,Jose Fernandez,MIA, 0.0750 ,2.86,11530
2019,Sonny Gray,CIN, 0.0960 ,2.87,12768
2018,Gerrit Cole,HOU, 0.0800 ,2.88,13125
2020,Kyle Hendricks,CHC, 0.0250 ,2.88,12049
2018,Corey Kluber,CLE, 0.0400 ,2.89,2429
2017,Robbie Ray,ARI, 0.1070 ,2.89,11486
2017,Chris Sale,BOS, 0.0510 ,2.9,10603
2020,Carlos Carrasco,CLE, 0.0960 ,2.91,6632
2020,Zack Wheeler,PHI, 0.0560 ,2.92,10310
2019,Max Scherzer,WSN, 0.0480 ,2.92,3137
2015,Madison Bumgarner,SFG, 0.0450 ,2.93,5524
2019,Zack Greinke,- - -, 0.0370 ,2.93,1943
2017,Gio Gonzalez,WSN, 0.0960 ,2.96,7448
2016,Max Scherzer,WSN, 0.0620 ,2.96,3137
2017,Luis Severino,NYY, 0.0650 ,2.98,15890
2016,Aaron Sanchez,TOR, 0.0800 ,3,11490
2015,Carlos Martinez,STL, 0.0830 ,3.01,11682
2018,Mike Clevinger,CLE, 0.0830 ,3.01,12808
2015,Shelby Miller,ATL, 0.0850 ,3.02,10197
2019,Clayton Kershaw,LAD, 0.0580 ,3.03,2036
2015,Lance Lynn,STL, 0.0910 ,3.03,2520
2016,Carlos Martinez,STL, 0.0870 ,3.04,11682
2016,Justin Verlander,DET, 0.0630 ,3.04,8700
2019,Charlie Morton,TBR, 0.0720 ,3.05,4676
2020,Brandon Woodruff,MIL, 0.0610 ,3.05,16162
2016,Masahiro Tanaka,NYY, 0.0450 ,3.07,15764
2017,Marcus Stroman,TOR, 0.0740 ,3.09,13431
2015,Scott Kazmir,- - -, 0.0770 ,3.1,4897
2020,Marco Gonzales,SEA, 0.0250 ,3.1,15467
2016,Jake Arrieta,CHC, 0.0960 ,3.1,4153
2018,Trevor Williams,PIT, 0.0780 ,3.11,16977
2018,Charlie Morton,HOU, 0.0920 ,3.13,4676
2015,Marco Estrada,TOR, 0.0760 ,3.13,1118
2016,Corey Kluber,CLE, 0.0660 ,3.14,2429
2016,Rick Porcello,BOS, 0.0360 ,3.15,2717
2018,Patrick Corbin,ARI, 0.0600 ,3.15,9323
2020,Adam Wainwright,STL, 0.0570 ,3.15,2233
2015,A.J. Burnett,PIT, 0.0700 ,3.18,512
